,Artist,Album,Released,Genre,Total certified copies (from available markets)*,Reported sales*,Ref.
0,Michael Jackson,Thriller,1982,"Pop, post-disco, funk, rock","51.3 US: 34 million[8] JPN: 100,000[9] UK: 4.5 million[10] GER: 1.5 million[11] FRA: 1 million[12] CAN: 3 million[13] AUS: 1.19 million[14] MEX: 2.6 million[15] NLD: 800,000[16] ITA: 200,000[17] SWE: 400,000[18] ARG: 500,000[19] SWI: 300,000[20] AUT: 400,000[21] FIN: 119,061[22] NZ: 180,000[23][24] HKG: 15,000[25] DEN: 480,000[26] DEN: 60,000[27] HUN: 6,000[28] POR: 40,000[29]",70,[30][31][32]
1,AC/DC,Back in Black,1980,Hard rock,"31.2 US: 27 million[8] UK: 1 million[10] GER: 1 million[11] FRA: 600,000[12] CAN: 1 million[13] AUS: 840,000[14] ITA: 150,000[17] SPA: 150,000[33][34][35] BRA: 100,000[36] DEN: 40,000[37] ARG: 160,000[38] SWI: 100,000[20] AUT: 50,000[21] POL: 10,000[39] NZ: 90,000[23]",50,[40]
2,Whitney Houston / Various artists,The Bodyguard,1992,"R&B, soul, pop, soundtrack","29.7 US: 19 million[8] JPN: 2 million[41][42] UK: 2.1 million[10] GER: 1.5 million[11] FRA: 1 million[12] CAN: 1 million[13] AUS: 350,000[14] BRA: 750,000[36] NLD: 100,000[16] ITA: 25,000[17] SWE: 100,000[18] SPA: 600,000[33][43] ARG: 240,000[38] BEL: 200,000[44] POL: 50,000[39] SWI: 250,000[20] AUT: 200,000[21] NOR: 200,000[45] FIN: 56,486[22] NZ: 15,000[23]",45,[46][47]
3,Pink Floyd,The Dark Side of the Moon,1973,Progressive rock,"25.6 US: 15 million[8] UK: 4.8 million[10] GER: 1.5 million[11] FRA: 400,000[12] CAN: 2 million[13] AUS: 980,000[14] ITA: 300,000[17] ARG: 240,000[38] BEL: 25,000[44] POL: 100,000[39] AUT: 100,000[21] NZ: 240,000[48]",45,[49]
4,Eagles,Their Greatest Hits (1971–1975),1976,"Country rock, soft rock, folk rock","43.2 US: 40 million[8] UK: 600,000[10] CAN: 2 million[13] AUS: 560,000[14] HKG: 15,000[25]",44,[50]
5,Eagles,Hotel California,1976,Soft rock,"33.8 US: 28 million[8] UK: 1.8 million[10] GER: 500,000[11] FRA: 1 million[12] CAN: 1 million[13] AUS: 630,000[14] NLD: 100,000[16] ITA: 25,000[17] SPA: 400,000[33] DEN: 10,000[51] SWI: 200,000[20] AUT: 25,000[21] FIN: 30,933[22] NZ: 135,000[23] HKG: 15,000[25]",42,[52]
6,Shania Twain,Come On Over,1997,"Country, pop","30.7 US: 20 million[8] JPN: 100,000[9] UK: 3.6 million[10] GER: 750,000[11] FRA: 300,000[53] CAN: 2 million[13] AUS: 1.750 million[14] BRA: 100,000[36] MEX: 100,000[15] NLD: 500,000[16] SWE: 240,000[18] SPA: 100,000[33] DEN: 140,000[54] ARG: 120,000[38] BEL: 150,000[44] SWI: 150,000[20] AUT: 25,000[21] NOR: 300,000[45] FIN: 38,958[22] NZ: 315,000[24]",40,[55][56]
7,Fleetwood Mac,Rumours,1977,Soft rock,"30.3 US: 21 million[8] UK: 4.5 million[10] GER: 1.25 million[11] FRA: 300,000[53] CAN: 2 million[13] AUS: 910,000[14] NLD: 100,000[16] ITA: 25,000[17] SPA: 50,000[57] DEN: 40,000[58] NZ: 195,000[59] HKG: 15,000[25]",40,[60][61]
8,Meat Loaf,Bat Out of Hell,1977,"Hard rock, glam rock, progressive rock","22 US: 14 million[8] UK: 3.3 million[10] GER: 500,000[11] CAN: 2 million[13] AUS: 1.820 million[14] NLD: 100,000[16] DEN: 40,000[62] SWI: 25,000[20] NOR: 25,000[45] NZ: 255,000[48]",40,[63]
9,Bee Gees / Various artists,Saturday Night Fever,1977,Disco,"22.1 US: 16 million[8] UK: 2.1 million[10] GER: 1.5 million[11] FRA: 200,000[12] CAN: 1.4 million[13] AUS: 770,000[64] NLD: 100,000[16] ITA: 25,000[17] HKG: 15,000[25]",40,[65][66]
